file,elapsed_time,cpu_percent,gpu_percent,ram_percent,gpu_temperature,technique
ds10_0.5-privateSMOTE3_QI3_knn5_per2,7.396946668624878,30.62857142857143,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn5_per3,7.391709089279175,33.24285714285715,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn1_per1,6.300502061843872,31.883333333333336,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn1_per2,6.301357746124268,34.53333333333333,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn1_per3,7.37802267074585,34.114285714285714,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn3_per1,6.322676181793213,35.766666666666666,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn3_per2,6.301417350769043,33.516666666666666,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn3_per3,7.367603302001953,34.34285714285714,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn5_per1,6.291773319244385,34.38333333333333,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn5_per2,6.303165674209595,36.583333333333336,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI4_knn5_per3,7.351955890655518,30.8,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn1_per1,6.3427722454071045,32.15,0.0,1.95,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn1_per2,7.360292196273804,34.528571428571425,0.0,1.957142857142857,26.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn1_per3,7.381866455078125,35.58571428571428,0.0,1.957142857142857,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn3_per1,6.318938493728638,34.583333333333336,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn3_per2,7.396966457366943,34.98571428571429,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn3_per3,7.375941514968872,31.414285714285715,0.0,1.9714285714285715,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn5_per1,6.327664852142334,33.4,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
ds10_0.5-privateSMOTE5_QI0_knn5_per2,6.316789865493774,34.28333333333334,0.0,1.9666666666666668,25.0,$\epsilon$-3PrivateSMOTE
